croc,overall_rarity,a1,a2,a3,a4,a5,a6,a7,a8,a9,a1_rarity,a2_rarity,a3_rarity,a4_rarity,a5_rarity,a6_rarity,a7_rarity,a8_rarity,a9_rarity
867,7381911.2675582,15,29,0,29,3,14,10,0,2,1.868,1.688,57.763,3.589,4.32,1.53,3.893,90.92,4.827
868,3295105655.46896,0,25,0,0,25,46,10,0,1,85.734,1.519,57.763,20.545,4.433,2.678,3.893,90.92,5.074
869,119654501.140027,0,31,0,0,15,21,10,0,52,85.734,0.99,57.763,20.545,3.792,1.485,3.893,90.92,0.596
870,4052256.53945112,0,6,16,58,17,27,4,0,15,85.734,2.261,1.553,1.463,2.16,2.171,11.352,90.92,1.901
871,10652304.7604623,0,0,3,28,6,52,6,0,50,85.734,32.673,2.048,1.564,6.436,1.856,1.766,90.92,0.619
872,82615.4951093372,0,31,0,34,6,27,14,8,28,85.734,0.99,57.763,0.518,6.436,2.171,2.003,0.574,2.025
873,19289180.8755146,0,28,25,48,24,46,7,0,11,85.734,1.631,1.834,1.26,5.142,2.678,11.037,90.92,4.32
874,107394576.476538,0,0,24,28,22,49,7,0,10,85.734,32.673,1.913,1.564,1.665,1.789,11.037,90.92,4.287
875,3209907.63023645,0,18,10,9,25,3,1,0,27,85.734,0.979,1.879,1.294,4.433,1.181,18.126,90.92,1.823
876,329327477.303294,0,34,0,47,29,38,7,0,8,85.734,2.003,57.763,2.892,3.319,0.844,11.037,90.92,4.084
877,35537523.3860012,0,12,19,1,8,30,4,0,24,85.734,2.171,4.388,1.958,5.052,2.667,11.352,90.92,1.598
878,34478.4622274424,8,26,3,23,45,44,13,0,1,0.158,2.048,2.048,3.938,0.945,2.757,10.992,90.92,5.074
879,153643738.356187,0,0,17,42,8,13,19,0,10,85.734,32.673,1.856,2.655,5.052,1.575,3.589,90.92,4.287
880,802491.743101643,0,0,17,15,15,14,13,6,8,85.734,32.673,1.856,0.675,3.792,1.53,10.992,0.878,4.084
881,341776411.269328,0,34,0,43,15,3,5,0,19,85.734,2.003,57.763,2.475,3.792,1.181,14.75,90.92,2.318
882,554360330.042337,0,12,0,47,11,13,5,0,7,85.734,2.171,57.763,2.892,1.969,1.575,14.75,90.92,4.287
883,169092645.443299,0,30,0,23,8,15,19,0,33,85.734,2.509,57.763,3.938,5.052,2.588,3.589,90.92,0.81
884,472661398.18229,0,0,23,29,3,44,1,0,15,85.734,32.673,1.26,3.589,4.32,2.757,18.126,90.92,1.901
885,194713405.94409,15,0,0,37,37,22,7,0,2,1.868,32.673,57.763,1.181,3.488,2.768,11.037,90.92,4.827
886,157511392.402789,0,25,19,23,8,30,13,0,3,85.734,1.519,4.388,3.938,5.052,2.667,10.992,90.92,5.198
887,19620220.2449119,0,4,19,22,35,62,9,0,10,85.734,2.599,4.388,0.99,4.32,2.655,4.534,90.92,4.287
888,1349641918.15456,0,9,0,0,26,65,5,0,5,85.734,0.653,57.763,20.545,1.688,1.89,14.75,90.92,4.748
889,112342219.386481,0,24,0,51,37,27,13,0,27,85.734,1.305,57.763,1.26,3.488,2.171,10.992,90.92,1.823
890,70788449.6329198,0,19,0,33,31,20,2,0,13,85.734,1.879,57.763,3.364,2.183,1.631,3.184,90.92,2.194
891,490591881.716211,0,34,0,12,13,18,13,0,21,85.734,2.003,57.763,2.104,6.503,2.329,10.992,90.92,1.553
892,9247907988.44539,0,29,0,0,29,44,5,0,9,85.734,1.688,57.763,20.545,3.319,2.757,14.75,90.92,4.388
893,29496732.0083176,0,31,0,46,31,34,10,0,20,85.734,0.99,57.763,1.451,2.183,2.385,3.893,90.92,2.25
894,101836787.082404,0,14,7,0,32,34,7,0,10,85.734,2.667,1.823,20.545,1.159,2.385,11.037,90.92,4.287
895,558465875.13427,0,22,0,48,15,2,5,0,2,85.734,2.532,57.763,1.26,3.792,1.44,14.75,90.92,4.827
896,2861435861.10386,0,35,0,2,35,44,13,0,8,85.734,2.802,57.763,4.242,4.32,2.757,10.992,90.92,4.084
897,17261302.2533092,0,40,0,55,8,19,7,0,35,85.734,0.529,57.763,1.283,5.052,0.484,11.037,90.92,2.093
898,383191668.961092,0,36,0,0,26,12,11,0,24,85.734,2.419,57.763,20.545,1.688,1.485,4.275,90.92,1.598
899,55962207.1632589,0,0,2,36,15,34,8,0,5,85.734,32.673,1.564,1.114,3.792,2.385,2.937,90.92,4.748
900,1221768711.89935,0,1,0,42,25,14,7,0,12,85.734,2.903,57.763,2.655,4.433,1.53,11.037,90.92,4.703
901,2348386.26739982,0,0,5,28,5,53,6,0,14,85.734,32.673,1.778,1.564,1.001,0.911,1.766,90.92,2.059
902,20738553.264606,0,1,5,10,24,61,5,0,14,85.734,2.903,1.778,1.845,5.142,1.789,14.75,90.92,2.059
903,109185.319791115,1,44,0,11,29,43,2,0,13,1.958,0.405,57.763,1.62,3.319,0.698,3.184,90.92,2.194
904,129054850.233517,0,8,0,50,13,26,9,0,2,85.734,2.216,57.763,1.091,6.503,0.833,4.534,90.92,4.827
905,9765874221.51977,0,0,0,29,24,10,4,0,36,85.734,32.673,57.763,3.589,5.142,2.734,11.352,90.92,1.159
906,2625577.36625836,3,24,0,11,37,3,1,0,28,1.564,1.305,57.763,1.62,3.488,1.181,18.126,90.92,2.025
907,21615582.3505349,0,18,3,2,1,63,4,0,1,85.734,0.979,2.048,4.242,3.105,1.823,11.352,90.92,5.074
908,1158179093.39847,0,22,0,12,24,21,5,0,7,85.734,2.532,57.763,2.104,5.142,1.485,14.75,90.92,4.287
909,254414.282066375,0,11,5,1,25,45,6,0,16,85.734,0.383,1.778,1.958,4.433,2.396,1.766,90.92,1.305
910,339280345.511597,0,20,0,0,27,15,13,0,8,85.734,0.934,57.763,20.545,0.338,2.588,10.992,90.92,4.084
911,105706.23768094,6,5,7,50,18,40,1,0,11,0.956,1.271,1.823,1.091,3.33,1.845,18.126,90.92,4.32
912,415337496.704631,0,42,0,34,6,44,5,0,11,85.734,1.575,57.763,0.518,6.436,2.757,14.75,90.92,4.32
