croc,overall_rarity,a1,a2,a3,a4,a5,a6,a7,a8,a9,a1_rarity,a2_rarity,a3_rarity,a4_rarity,a5_rarity,a6_rarity,a7_rarity,a8_rarity,a9_rarity
1,12314179.237638,0,28,8,5,18,10,7,0,28,85.734,1.631,1.339,3.555,3.33,2.734,11.037,90.92,2.025
2,47863507.4314369,9,8,0,0,21,50,7,0,11,0.945,2.216,57.763,20.545,2.408,1.845,11.037,90.92,4.32
3,1765554.84651043,0,6,6,9,2,25,1,0,17,85.734,2.261,1.001,1.294,1.8,1.013,18.126,90.92,2.34
4,344144028.266176,0,30,0,28,25,34,5,0,23,85.734,2.509,57.763,1.564,4.433,2.385,14.75,90.92,1.249
5,2412476.95022027,0,17,25,29,29,31,7,0,18,85.734,0.394,1.834,3.589,3.319,1.744,11.037,90.92,1.868
6,22792263.8304265,0,0,4,4,45,28,7,0,5,85.734,32.673,1.89,1.44,0.945,0.664,11.037,90.92,4.748
7,41648.2884714901,15,7,0,1,32,45,2,2,19,1.868,1.598,57.763,1.958,1.159,2.396,3.184,6.019,2.318
8,3923781645.50656,0,0,16,0,7,9,5,0,4,85.734,32.673,1.553,20.545,4.197,1.834,14.75,90.92,4.253
9,640292794.851664,0,6,0,5,15,39,4,0,1,85.734,2.261,57.763,3.555,3.792,0.81,11.352,90.92,5.074
10,1059732646.79468,0,7,0,0,21,31,13,0,21,85.734,1.598,57.763,20.545,2.408,1.744,10.992,90.92,1.553
11,117935028.538024,0,0,11,23,13,44,6,0,28,85.734,32.673,1.834,3.938,6.503,2.757,1.766,90.92,2.025
12,13261234.7193696,0,29,0,4,9,49,8,0,33,85.734,1.688,57.763,1.44,2.847,1.789,2.937,90.92,0.81
13,4049068.58110952,0,30,9,45,7,46,10,0,8,85.734,2.509,0.945,1.226,4.197,2.678,3.893,90.92,4.084
14,67024868.2153079,0,41,10,12,8,9,5,0,2,85.734,3.297,1.879,2.104,5.052,1.834,14.75,90.92,4.827
15,716915.389946505,3,8,0,2,45,34,12,0,31,1.564,2.216,57.763,4.242,0.945,2.385,2.543,90.92,1.62
16,36969458123.3986,0,0,0,0,2,30,13,0,19,85.734,32.673,57.763,20.545,1.8,2.667,10.992,90.92,2.318
17,48962250.0409836,0,29,0,4,32,22,8,0,5,85.734,1.688,57.763,1.44,1.159,2.768,2.937,90.92,4.748
18,30510493.7951375,0,1,10,7,19,46,13,0,10,85.734,2.903,1.879,3.24,1.755,2.678,10.992,90.92,4.287
19,12914928.7011415,0,41,19,45,35,13,13,0,23,85.734,3.297,4.388,1.226,4.32,1.575,10.992,90.92,1.249
20,38110660.7432784,0,0,1,31,24,35,5,0,35,85.734,32.673,0.653,0.923,5.142,1.564,14.75,90.92,2.093
21,6850140.01171282,0,21,21,6,18,49,4,0,12,85.734,0.664,1.193,3.488,3.33,1.789,11.352,90.92,4.703
22,511424441.683973,0,2,0,33,13,14,5,0,34,85.734,1.778,57.763,3.364,6.503,1.53,14.75,90.92,1.294
23,16557813540.9199,0,0,0,9,7,0,1,0,7,85.734,32.673,57.763,1.294,4.197,2.667,18.126,90.92,4.287
24,140334741.129093,0,29,0,16,1,27,7,0,20,85.734,1.688,57.763,1.103,3.105,2.171,11.037,90.92,2.25
25,62854375.3201018,0,0,21,6,13,65,8,0,26,85.734,32.673,1.193,3.488,6.503,1.89,2.937,90.92,1.643
26,1611718.24949529,0,30,9,18,7,5,3,0,1,85.734,2.509,0.945,0.518,4.197,1.665,4.748,90.92,5.074
27,1072246015.50688,0,0,4,33,3,32,13,0,5,85.734,32.673,1.89,3.364,4.32,2.937,10.992,90.92,4.748
28,285372814.822595,0,0,14,47,8,35,7,0,13,85.734,32.673,2.025,2.892,5.052,1.564,11.037,90.92,2.194
29,42968450.0187954,0,0,18,48,25,21,4,0,16,85.734,32.673,1.373,1.26,4.433,1.485,11.352,90.92,1.305
8655,312560476.157269,0,0,0,0,29,69,2,0,45,85.734,32.673,57.763,20.545,3.319,0.113,3.184,90.92,0.866
30,721204955.728744,0,22,0,29,3,8,1,0,49,85.734,2.532,57.763,3.589,4.32,2.779,18.126,90.92,0.81
31,378894.342043182,0,41,13,43,16,53,1,0,52,85.734,3.297,0.304,2.475,1.991,0.911,18.126,90.92,0.596
32,10044651.4415973,0,2,3,47,6,31,12,0,7,85.734,1.778,2.048,2.892,6.436,1.744,2.543,90.92,4.287
33,2408.26874328444,15,7,28,19,20,10,1,0,34,1.868,1.598,0.338,0.743,0.551,2.734,18.126,90.92,1.294
34,2042582724.92184,0,25,0,0,2,23,1,0,2,85.734,1.519,57.763,20.545,1.8,0.923,18.126,90.92,4.827
35,27963141.9601006,0,38,0,6,15,28,8,0,16,85.734,1.845,57.763,3.488,3.792,0.664,2.937,90.92,1.305
36,64220454.1690817,0,43,0,45,9,63,19,0,12,85.734,1.328,57.763,1.226,2.847,1.823,3.589,90.92,4.703
37,4130521539.82646,0,5,0,0,29,40,7,0,3,85.734,1.271,57.763,20.545,3.319,1.845,11.037,90.92,5.198
38,139996150.735973,0,2,0,16,22,50,5,0,6,85.734,1.778,57.763,1.103,1.665,1.845,14.75,90.92,3.499
39,3476783946.97998,0,0,5,0,25,61,13,0,7,85.734,32.673,1.778,20.545,4.433,1.789,10.992,90.92,4.287
40,149239532.958142,0,0,17,13,6,62,12,0,17,85.734,32.673,1.856,3.105,6.436,2.655,2.543,90.92,2.34
41,500035887.819664,0,34,0,29,8,32,14,0,3,85.734,2.003,57.763,3.589,5.052,2.937,2.003,90.92,5.198
42,160291489.359493,0,0,27,0,13,68,1,0,28,85.734,32.673,1.035,20.545,6.503,0.124,18.126,90.92,2.025
43,11972115.196265,0,18,0,8,13,1,1,0,16,85.734,0.979,57.763,0.383,6.503,0.461,18.126,90.92,1.305
44,662281987.787688,0,34,0,2,13,31,19,0,4,85.734,2.003,57.763,4.242,6.503,1.744,3.589,90.92,4.253
45,1706168676.36053,0,0,7,0,1,15,13,0,28,85.734,32.673,1.823,20.545,3.105,2.588,10.992,90.92,2.025
46,1565217624.38793,0,0,0,13,7,29,13,0,34,85.734,32.673,57.763,3.105,4.197,0.574,10.992,90.92,1.294
47,31733016.8593186,0,6,0,17,22,45,7,0,25,85.734,2.261,57.763,0.27,1.665,2.396,11.037,90.92,2.622
48,16764358794.3859,0,0,0,13,6,48,4,0,1,85.734,32.673,57.763,3.105,6.436,0.99,11.352,90.92,5.074
49,1551315748.48102,0,15,0,0,13,31,7,0,49,85.734,1.654,57.763,20.545,6.503,1.744,11.037,90.92,0.81
50,2452392897.19712,0,22,0,23,6,31,4,0,7,85.734,2.532,57.763,3.938,6.436,1.744,11.352,90.92,4.287
51,222999022.837143,0,6,0,25,26,27,3,0,9,85.734,2.261,57.763,2.869,1.688,2.171,4.748,90.92,4.388
52,585776.089179937,9,8,0,20,25,18,7,0,51,0.945,2.216,57.763,0.799,4.433,2.329,11.037,90.92,0.585
53,15926020846.0838,0,0,0,25,33,44,7,0,6,85.734,32.673,57.763,2.869,3.544,2.757,11.037,90.92,3.499
54,234714717.340569,0,36,0,25,20,42,5,0,3,85.734,2.419,57.763,2.869,0.551,1.778,14.75,90.92,5.198
55,8844538171.44433,0,0,0,5,26,49,7,0,1,85.734,32.673,57.763,3.555,1.688,1.789,11.037,90.92,5.074
56,7174618487.14378,0,0,14,0,15,18,5,0,3,85.734,32.673,2.025,20.545,3.792,2.329,14.75,90.92,5.198
57,11522904523.3027,0,38,0,0,8,22,4,0,4,85.734,1.845,57.763,20.545,5.052,2.768,11.352,90.92,4.253
58,113.722404649175,4,51,14,0,6,75,5,8,13,0.934,0.36,2.025,20.545,6.436,0.068,14.75,0.574,2.194
8656,312434794427.981,0,0,0,0,7,46,1,0,1,85.734,32.673,57.763,20.545,4.197,2.678,18.126,90.92,5.074
59,5302507.66844896,6,3,0,7,6,50,5,0,15,0.956,0.979,57.763,3.24,6.436,1.845,14.75,90.92,1.901
60,56125592.9167138,0,12,0,43,13,8,3,2,8,85.734,2.171,57.763,2.475,6.503,2.779,4.748,6.019,4.084
61,208876576.818815,0,37,0,25,31,0,10,0,1,85.734,1.406,57.763,2.869,2.183,2.667,3.893,90.92,5.074
62,6458503.70318641,0,2,16,12,14,9,13,0,3,85.734,1.778,1.553,2.104,1.361,1.834,10.992,90.92,5.198
63,6735669917.6943,0,25,0,0,37,18,4,0,3,85.734,1.519,57.763,20.545,3.488,2.329,11.352,90.92,5.198
64,274491579.287817,0,0,17,2,29,44,13,0,22,85.734,32.673,1.856,4.242,3.319,2.757,10.992,90.92,1.361
65,17876740.0980953,0,0,27,31,30,46,13,0,22,85.734,32.673,1.035,0.923,1.834,2.678,10.992,90.92,1.361
66,65793712.0639948,0,0,4,48,8,53,5,0,24,85.734,32.673,1.89,1.26,5.052,0.911,14.75,90.92,1.598
67,1873792118.1751,0,35,0,0,25,37,1,0,24,85.734,2.802,57.763,20.545,4.433,0.563,18.126,90.92,1.598
68,27783355511.8202,0,0,0,2,33,62,7,0,10,85.734,32.673,57.763,4.242,3.544,2.655,11.037,90.92,4.287
69,519165.091290196,1,37,0,2,25,5,19,2,2,1.958,1.406,57.763,4.242,4.433,1.665,3.589,6.019,4.827
70,659006837.807393,0,43,0,6,12,35,5,0,10,85.734,1.328,57.763,3.488,3.195,1.564,14.75,90.92,4.287
71,68701731.2674546,0,26,7,5,13,62,13,0,6,85.734,2.048,1.823,3.555,6.503,2.655,10.992,90.92,3.499
72,6150908120.94018,0,7,0,0,21,9,1,0,3,85.734,1.598,57.763,20.545,2.408,1.834,18.126,90.92,5.198
73,168277941.433688,0,5,0,23,15,52,9,0,17,85.734,1.271,57.763,3.938,3.792,1.856,4.534,90.92,2.34
74,48143.915784439,0,33,26,20,25,35,1,2,30,85.734,1.508,1.89,0.799,4.433,1.564,18.126,6.019,0.326
75,672447313.343135,0,0,19,2,32,13,1,0,10,85.734,32.673,4.388,4.242,1.159,1.575,18.126,90.92,4.287
76,10837551.4347867,0,32,0,48,5,52,6,0,12,85.734,1.238,57.763,1.26,1.001,1.856,1.766,90.92,4.703
77,5879375326.9633,0,0,30,0,24,65,5,0,3,85.734,32.673,1.508,20.545,5.142,1.89,14.75,90.92,5.198
78,11109920.9038923,0,41,19,58,7,42,10,0,19,85.734,3.297,4.388,1.463,4.197,1.778,3.893,90.92,2.318
79,32755600.887437,0,8,10,29,9,7,4,0,11,85.734,2.216,1.879,3.589,2.847,2.014,11.352,90.92,4.32
80,1038212644.28122,0,14,0,2,33,15,11,0,3,85.734,2.667,57.763,4.242,3.544,2.588,4.275,90.92,5.198
81,50704732.20032,0,25,0,1,18,6,2,0,7,85.734,1.519,57.763,1.958,3.33,0.833,3.184,90.92,4.287
82,192285.945101112,0,28,0,31,18,6,7,1,22,85.734,1.631,57.763,0.923,3.33,0.833,11.037,0.619,1.361
83,19958383.4249364,0,0,16,15,6,29,10,0,3,85.734,32.673,1.553,0.675,6.436,0.574,3.893,90.92,5.198
84,291032952.641571,0,0,7,10,16,46,5,0,11,85.734,32.673,1.823,1.845,1.991,2.678,14.75,90.92,4.32
85,18099305.2173111,6,0,0,44,4,6,4,0,2,0.956,32.673,57.763,0.934,2.588,0.833,11.352,90.92,4.827
86,293952.658455238,9,0,11,0,8,3,13,6,9,0.945,32.673,1.834,20.545,5.052,1.181,10.992,0.878,4.388
87,199860.887326131,3,0,0,9,25,95,7,6,12,1.564,32.673,57.763,1.294,4.433,0.259,11.037,0.878,4.703
88,30512572.8507764,15,29,0,5,7,66,7,0,2,1.868,1.688,57.763,3.555,4.197,2.318,11.037,90.92,4.827
89,791578.997624141,2,38,0,7,9,18,1,0,33,0.259,1.845,57.763,3.24,2.847,2.329,18.126,90.92,0.81
90,218139579.624798,0,0,8,46,18,32,7,0,8,85.734,32.673,1.339,1.451,3.33,2.937,11.037,90.92,4.084
91,1401069763.69148,0,41,0,47,35,32,13,0,17,85.734,3.297,57.763,2.892,4.32,2.937,10.992,90.92,2.34
92,52240.2532478238,0,11,8,15,33,31,7,2,7,85.734,0.383,1.339,0.675,3.544,1.744,11.037,6.019,4.287
93,11676760.3241265,0,33,19,29,12,36,11,0,11,85.734,1.508,4.388,3.589,3.195,1.069,4.275,90.92,4.32
94,17894522483.506,0,30,0,0,29,62,1,0,2,85.734,2.509,57.763,20.545,3.319,2.655,18.126,90.92,4.827
95,42958361.4379903,0,22,19,23,2,21,13,0,7,85.734,2.532,4.388,3.938,1.8,1.485,10.992,90.92,4.287
96,912746147.937839,0,0,21,13,6,65,1,0,9,85.734,32.673,1.193,3.105,6.436,1.89,18.126,90.92,4.388
97,175745329.458217,0,8,0,46,4,13,1,0,26,85.734,2.216,57.763,1.451,2.588,1.575,18.126,90.92,1.643
98,1507584628.86735,0,14,0,1,8,15,4,0,11,85.734,2.667,57.763,1.958,5.052,2.588,11.352,90.92,4.32
99,2592798943.03975,0,0,14,0,18,30,5,0,18,85.734,32.673,2.025,20.545,3.33,2.667,14.75,90.92,1.868
100,1664472672.33548,0,0,15,0,29,46,4,0,5,85.734,32.673,0.664,20.545,3.319,2.678,11.352,90.92,4.748
101,21526136.1640082,0,0,17,10,22,5,13,0,33,85.734,32.673,1.856,1.845,1.665,1.665,10.992,90.92,0.81
102,1744945552.96679,0,24,0,0,15,4,1,0,24,85.734,1.305,57.763,20.545,3.792,1.316,18.126,90.92,1.598
103,5989659418.53821,0,0,0,6,30,45,4,0,17,85.734,32.673,57.763,3.488,1.834,2.396,11.352,90.92,2.34
104,333433393.776554,0,41,0,47,35,36,10,0,11,85.734,3.297,57.763,2.892,4.32,1.069,3.893,90.92,4.32
105,16083989.1890248,1,0,30,6,6,14,4,0,12,1.958,32.673,1.508,3.488,6.436,1.53,11.352,90.92,4.703
106,3039429656.44233,0,0,10,0,33,35,13,0,1,85.734,32.673,1.879,20.545,3.544,1.564,10.992,90.92,5.074
107,740459.902932856,0,33,25,20,7,24,10,0,15,85.734,1.508,1.834,0.799,4.197,1.384,3.893,90.92,1.901
108,458917006.562185,0,41,0,41,17,32,5,0,25,85.734,3.297,57.763,1.26,2.16,2.937,14.75,90.92,2.622
109,22702328019.133,0,0,0,0,19,12,13,0,25,85.734,32.673,57.763,20.545,1.755,1.485,10.992,90.92,2.622
110,377918599.9377,0,22,0,58,18,44,3,0,3,85.734,2.532,57.763,1.463,3.33,2.757,4.748,90.92,5.198
111,61840904.2712076,0,19,22,2,24,62,5,0,2,85.734,1.879,1.024,4.242,5.142,2.655,14.75,90.92,4.827
112,448484.272903434,0,44,3,32,29,50,7,0,27,85.734,0.405,2.048,0.563,3.319,1.845,11.037,90.92,1.823
113,17038525.1168819,0,25,26,42,6,49,4,0,13,85.734,1.519,1.89,2.655,6.436,1.789,11.352,90.92,2.194
114,6356566.74707609,0,8,24,5,35,34,14,0,25,85.734,2.216,1.913,3.555,4.32,2.385,2.003,90.92,2.622
115,23829334439.5921,0,0,0,0,4,22,3,0,19,85.734,32.673,57.763,20.545,2.588,2.768,4.748,90.92,2.318
116,56095927.9411267,0,25,2,0,35,17,13,0,14,85.734,1.519,1.564,20.545,4.32,1.508,10.992,90.92,2.059
8773,194133781225.521,0,0,0,0,33,64,1,0,4,85.734,32.673,57.763,20.545,3.544,2.351,18.126,90.92,4.253
117,4741009240.09058,0,0,0,9,18,13,13,0,11,85.734,32.673,57.763,1.294,3.33,1.575,10.992,90.92,4.32
118,4865390218.25784,0,0,0,47,3,5,10,0,8,85.734,32.673,57.763,2.892,4.32,1.665,3.893,90.92,4.084
119,1372649257.86749,0,1,0,23,33,40,1,0,20,85.734,2.903,57.763,3.938,3.544,1.845,18.126,90.92,2.25
120,28461248.540193,0,0,25,16,25,6,13,0,22,85.734,32.673,1.834,1.103,4.433,0.833,10.992,90.92,1.361
121,485594633.318994,0,12,0,12,29,46,4,0,17,85.734,2.171,57.763,2.104,3.319,2.678,11.352,90.92,2.34
122,93376823.1705261,0,34,0,29,30,86,3,0,14,85.734,2.003,57.763,3.589,1.834,1.609,4.748,90.92,2.059
123,66360344.8376055,3,20,0,0,4,44,4,0,3,1.564,0.934,57.763,20.545,2.588,2.757,11.352,90.92,5.198
124,2475432.36367809,15,27,0,37,25,43,1,0,12,1.868,0.81,57.763,1.181,4.433,0.698,18.126,90.92,4.703
125,38296.6632995445,6,17,0,35,4,22,8,0,33,0.956,0.394,57.763,1.136,2.588,2.768,2.937,90.92,0.81
126,237558884.972221,0,30,0,46,9,22,4,0,31,85.734,2.509,57.763,1.451,2.847,2.768,11.352,90.92,1.62
127,13262.1757450541,16,0,27,31,7,60,1,0,11,0.18,32.673,1.035,0.923,4.197,0.079,18.126,90.92,4.32
128,212482735.681183,0,28,0,1,35,47,3,0,6,85.734,1.631,57.763,1.958,4.32,2.059,4.748,90.92,3.499
129,5709291265.13692,0,0,0,0,21,51,12,0,13,85.734,32.673,57.763,20.545,2.408,1.406,2.543,90.92,2.194
130,277011470.127409,0,6,27,0,24,30,4,0,5,85.734,2.261,1.035,20.545,5.142,2.667,11.352,90.92,4.748
131,3261791481.75197,1,0,0,0,24,0,1,0,15,1.958,32.673,57.763,20.545,5.142,2.667,18.126,90.92,1.901
132,165297.507316573,0,33,20,41,13,35,19,0,29,85.734,1.508,0.776,1.26,6.503,1.564,3.589,90.92,0.394
133,89377336.6134294,0,2,0,11,9,13,2,0,2,85.734,1.778,57.763,1.62,2.847,1.575,3.184,90.92,4.827
134,524137782.999584,0,23,0,2,7,8,1,0,28,85.734,0.641,57.763,4.242,4.197,2.779,18.126,90.92,2.025
135,1349359605.98479,0,34,0,0,9,4,9,0,10,85.734,2.003,57.763,20.545,2.847,1.316,4.534,90.92,4.287
136,646344464.436622,0,2,0,10,29,32,13,0,8,85.734,1.778,57.763,1.845,3.319,2.937,10.992,90.92,4.084
137,143065762.499058,0,0,16,12,18,9,1,0,21,85.734,32.673,1.553,2.104,3.33,1.834,18.126,90.92,1.553
138,2058714968.44209,0,0,0,35,3,25,1,0,21,85.734,32.673,57.763,1.136,4.32,1.013,18.126,90.92,1.553
139,1039270162.16316,0,6,0,2,37,66,4,0,25,85.734,2.261,57.763,4.242,3.488,2.318,11.352,90.92,2.622
140,32758870187.274,0,0,0,23,18,34,5,0,2,85.734,32.673,57.763,3.938,3.33,2.385,14.75,90.92,4.827
141,3377670.97644497,0,33,21,13,7,15,1,0,29,85.734,1.508,1.193,3.105,4.197,2.588,18.126,90.92,0.394
142,3945735.1366309,9,28,0,47,30,40,4,0,9,0.945,1.631,57.763,2.892,1.834,1.845,11.352,90.92,4.388
143,5654147.14105876,1,23,0,0,37,19,13,0,20,1.958,0.641,57.763,20.545,3.488,0.484,10.992,90.92,2.25
144,336234821.242688,0,5,0,16,7,15,4,0,11,85.734,1.271,57.763,1.103,4.197,2.588,11.352,90.92,4.32
145,790326.057884942,15,36,0,23,7,43,3,0,53,1.868,2.419,57.763,3.938,4.197,0.698,4.748,90.92,0.608
146,81541757.631415,0,31,17,0,8,44,9,0,9,85.734,0.99,1.856,20.545,5.052,2.757,4.534,90.92,4.388
147,309464088.378643,0,26,0,49,23,10,4,0,1,85.734,2.048,57.763,1.035,2.059,2.734,11.352,90.92,5.074
148,70799023.246308,0,34,0,47,24,66,10,0,51,85.734,2.003,57.763,2.892,5.142,2.318,3.893,90.92,0.585
149,54991911.6232193,0,0,9,47,11,15,19,0,11,85.734,32.673,0.945,2.892,1.969,2.588,3.589,90.92,4.32
150,15362534.6434815,0,0,23,6,1,13,9,0,50,85.734,32.673,1.26,3.488,3.105,1.575,4.534,90.92,0.619
151,22022057.9969137,0,29,10,43,37,27,1,0,25,85.734,1.688,1.879,2.475,3.488,2.171,18.126,90.92,2.622
152,244370258.847187,0,0,21,2,22,45,1,0,25,85.734,32.673,1.193,4.242,1.665,2.396,18.126,90.92,2.622
153,5404755.27488691,0,18,10,55,30,7,1,0,9,85.734,0.979,1.879,1.283,1.834,2.014,18.126,90.92,4.388
154,8151409868.21485,0,6,0,0,37,64,1,0,25,85.734,2.261,57.763,20.545,3.488,2.351,18.126,90.92,2.622
155,461401.62057119,0,12,19,55,11,53,1,2,20,85.734,2.171,4.388,1.283,1.969,0.911,18.126,6.019,2.25
156,6058213.53419772,0,2,16,25,32,49,7,0,7,85.734,1.778,1.553,2.869,1.159,1.789,11.037,90.92,4.287
157,145134178.244868,0,18,0,33,31,15,19,0,2,85.734,0.979,57.763,3.364,2.183,2.588,3.589,90.92,4.827
158,1323332827.07819,3,0,0,0,9,61,13,0,7,1.564,32.673,57.763,20.545,2.847,1.789,10.992,90.92,4.287
159,737200625.596879,0,34,0,16,33,32,5,0,2,85.734,2.003,57.763,1.103,3.544,2.937,14.75,90.92,4.827
160,13045354966.8945,0,0,0,6,7,61,1,0,18,85.734,32.673,57.763,3.488,4.197,1.789,18.126,90.92,1.868
161,2416825145.91535,0,12,0,23,35,52,1,0,11,85.734,2.171,57.763,3.938,4.32,1.856,18.126,90.92,4.32
162,1304901168.9152,0,0,0,12,9,15,12,0,20,85.734,32.673,57.763,2.104,2.847,2.588,2.543,90.92,2.25
163,221732012710.146,0,0,0,0,24,46,7,0,2,85.734,32.673,57.763,20.545,5.142,2.678,11.037,90.92,4.827
164,5962404.43148157,0,43,15,0,7,45,1,2,6,85.734,1.328,0.664,20.545,4.197,2.396,18.126,6.019,3.499
165,551423211.80012,0,5,0,33,26,50,1,0,1,85.734,1.271,57.763,3.364,1.688,1.845,18.126,90.92,5.074
166,60307587.5508801,0,20,0,19,18,47,1,0,21,85.734,0.934,57.763,0.743,3.33,2.059,18.126,90.92,1.553
167,308677522.554159,0,0,16,42,3,44,3,0,3,85.734,32.673,1.553,2.655,4.32,2.757,4.748,90.92,5.198
168,6380737.74539966,0,28,0,3,28,34,6,0,28,85.734,1.631,57.763,0.686,1.485,2.385,1.766,90.92,2.025
169,508132.328896055,7,20,0,21,29,34,10,0,9,0.608,0.934,57.763,1.26,3.319,2.385,3.893,90.92,4.388
170,17061358841.4414,0,0,0,29,24,52,1,0,18,85.734,32.673,57.763,3.589,5.142,1.856,18.126,90.92,1.868
171,50318351.1039477,0,34,19,44,24,62,4,0,1,85.734,2.003,4.388,0.934,5.142,2.655,11.352,90.92,5.074
172,69923006.7518773,0,0,26,0,35,37,19,0,49,85.734,32.673,1.89,20.545,4.32,0.563,3.589,90.92,0.81
173,20210389041.1821,0,0,0,51,13,63,1,0,1,85.734,32.673,57.763,1.26,6.503,1.823,18.126,90.92,5.074
174,64737395.4344779,0,37,19,28,24,64,5,0,2,85.734,1.406,4.388,1.564,5.142,2.351,14.75,90.92,4.827
175,67352426.3026051,0,0,30,55,3,66,2,0,10,85.734,32.673,1.508,1.283,4.32,2.318,3.184,90.92,4.287
176,1703036690.58075,0,1,0,5,25,32,1,0,21,85.734,2.903,57.763,3.555,4.433,2.937,18.126,90.92,1.553
177,5049207.13365889,1,3,0,6,15,86,9,0,3,1.958,0.979,57.763,3.488,3.792,1.609,4.534,90.92,5.198
178,4877945.91729239,0,38,22,3,37,8,4,0,9,85.734,1.845,1.024,0.686,3.488,2.779,11.352,90.92,4.388
179,1152329155.11784,0,31,0,0,11,10,4,0,14,85.734,0.99,57.763,20.545,1.969,2.734,11.352,90.92,2.059
180,898432932.934392,0,14,0,9,25,14,1,0,12,85.734,2.667,57.763,1.294,4.433,1.53,18.126,90.92,4.703
181,8846383432.11666,0,41,0,0,30,22,13,0,3,85.734,3.297,57.763,20.545,1.834,2.768,10.992,90.92,5.198
182,264673017.412552,0,5,0,37,8,20,1,0,25,85.734,1.271,57.763,1.181,5.052,1.631,18.126,90.92,2.622
183,67880456.4324177,0,30,0,23,25,42,2,0,53,85.734,2.509,57.763,3.938,4.433,1.778,3.184,90.92,0.608
184,65104773.6328491,0,6,3,4,6,8,5,0,5,85.734,2.261,2.048,1.44,6.436,2.779,14.75,90.92,4.748
185,421186832.351309,0,0,8,4,3,18,1,0,12,85.734,32.673,1.339,1.44,4.32,2.329,18.126,90.92,4.703
186,128713439.103782,3,0,0,32,6,65,5,0,5,1.564,32.673,57.763,0.563,6.436,1.89,14.75,90.92,4.748
187,446004486.957466,0,0,10,21,1,22,1,0,5,85.734,32.673,1.879,1.26,3.105,2.768,18.126,90.92,4.748
188,281724879.897436,0,0,3,5,29,32,4,0,32,85.734,32.673,2.048,3.555,3.319,2.937,11.352,90.92,1.373
189,4403.2553043897,14,51,0,17,29,72,1,0,50,1.868,0.36,57.763,0.27,3.319,0.124,18.126,90.92,0.619
190,4125962244.23165,0,28,0,0,31,13,1,0,9,85.734,1.631,57.763,20.545,2.183,1.575,18.126,90.92,4.388
191,17355344.7019834,0,32,0,35,16,32,14,0,17,85.734,1.238,57.763,1.136,1.991,2.937,2.003,90.92,2.34
192,23574487.4596379,15,0,0,13,9,30,13,2,7,1.868,32.673,57.763,3.105,2.847,2.667,10.992,6.019,4.287
193,275122834.495108,0,35,0,25,30,13,4,0,19,85.734,2.802,57.763,2.869,1.834,1.575,11.352,90.92,2.318
194,3218852.49153767,0,3,26,2,32,13,13,0,25,85.734,0.979,1.89,4.242,1.159,1.575,10.992,90.92,2.622
195,265011378.281389,0,24,0,0,45,40,8,0,7,85.734,1.305,57.763,20.545,0.945,1.845,2.937,90.92,4.287
196,202057.851189972,0,33,8,5,24,64,7,8,10,85.734,1.508,1.339,3.555,5.142,2.351,11.037,0.574,4.287
197,4467.35647796147,7,23,0,46,33,6,5,1,1,0.608,0.641,57.763,1.451,3.544,0.833,14.75,0.619,5.074
198,3638592593.42324,0,1,0,2,4,44,1,0,1,85.734,2.903,57.763,4.242,2.588,2.757,18.126,90.92,5.074
199,906868859.60759,0,28,0,33,33,24,5,0,1,85.734,1.631,57.763,3.364,3.544,1.384,14.75,90.92,5.074
200,386366843.617045,0,0,7,13,19,15,4,0,3,85.734,32.673,1.823,3.105,1.755,2.588,11.352,90.92,5.198
201,577105086.072665,0,0,4,35,6,8,4,0,3,85.734,32.673,1.89,1.136,6.436,2.779,11.352,90.92,5.198
202,878006940.950845,0,19,0,2,8,63,4,0,17,85.734,1.879,57.763,4.242,5.052,1.823,11.352,90.92,2.34
203,4969440957.8523,0,0,25,0,15,31,1,0,11,85.734,32.673,1.834,20.545,3.792,1.744,18.126,90.92,4.32
204,3363151935.05276,0,30,0,23,7,66,1,0,7,85.734,2.509,57.763,3.938,4.197,2.318,18.126,90.92,4.287
205,31193873.2182252,0,0,10,5,45,10,10,0,27,85.734,32.673,1.879,3.555,0.945,2.734,3.893,90.92,1.823
206,25811021343.5705,0,0,0,23,31,44,1,0,8,85.734,32.673,57.763,3.938,2.183,2.757,18.126,90.92,4.084
207,98729307.3931723,0,0,25,47,25,39,3,0,7,85.734,32.673,1.834,2.892,4.433,0.81,4.748,90.92,4.287
208,1144400.63901094,0,27,0,25,18,36,4,8,7,85.734,0.81,57.763,2.869,3.33,1.069,11.352,0.574,4.287
209,187351649.388378,0,0,26,52,13,62,13,0,27,85.734,32.673,1.89,1.125,6.503,2.655,10.992,90.92,1.823
210,71002159.9781264,0,4,17,43,6,5,5,0,2,85.734,2.599,1.856,2.475,6.436,1.665,14.75,90.92,4.827
211,2386170748.75879,0,30,0,0,22,49,5,0,17,85.734,2.509,57.763,20.545,1.665,1.789,14.75,90.92,2.34
212,127543605.7843,0,34,0,33,1,35,11,0,28,85.734,2.003,57.763,3.364,3.105,1.564,4.275,90.92,2.025
213,3085500.59632325,0,4,30,49,35,0,9,0,18,85.734,2.599,1.508,1.035,4.32,2.667,4.534,90.92,1.868
214,100619410.111814,14,0,7,0,24,7,13,0,4,1.868,32.673,1.823,20.545,5.142,2.014,10.992,90.92,4.253
215,2384615833.69152,0,19,0,0,33,40,7,0,15,85.734,1.879,57.763,20.545,3.544,1.845,11.037,90.92,1.901
