Croc,DNA,Binary DNA,A1,A2,A3,A4,A5,A6,A7,A8,A9,Attr List
1,2019870007911448604,1110000001000000001010001001000001010000001110000000000011100,0,28,8,5,18,10,7,0,28,0 | 28 | 8 | 5 | 18 | 10 | 7 | 0 | 28
2,166597157506723020811,10010000100000000000000000000001010100110010000001110000000000001011,9,8,0,0,21,50,7,0,11,9 | 8 | 0 | 0 | 21 | 50 | 7 | 0 | 11
3,434044318701912081,11000000110000010010000001000011001000000010000000000010001,0,6,6,9,2,25,1,0,17,0 | 6 | 6 | 9 | 2 | 25 | 1 | 0 | 17
4,2161758715408351255,1111000000000000111000001100100100010000001010000000000010111,0,30,0,28,25,34,5,0,23,0 | 30 | 0 | 28 | 25 | 34 | 5 | 0 | 23
5,1232047983974350866,1000100011001000111010001110100011111000001110000000000010010,0,17,25,29,29,31,7,0,18,0 | 17 | 25 | 29 | 29 | 31 | 7 | 0 | 18
6,1130491697102853,100000001000010110100011100000001110000000000000101,0,0,4,4,45,28,7,0,5,0 | 0 | 4 | 4 | 45 | 28 | 7 | 0 | 5
7,277205565501614457363,11110000011100000000000000010010000000101101000000100000001000010011,15,7,0,1,32,45,2,2,19,15 | 7 | 0 | 1 | 32 | 45 | 2 | 2 | 19
8,4503629843464196,10000000000000000011100001001000001010000000000000100,0,0,16,0,7,9,5,0,4,0 | 0 | 16 | 0 | 7 | 9 | 5 | 0 | 4
9,432351126864789505,11000000000000001010000111100100111000001000000000000000001,0,6,0,5,15,39,4,0,1,0 | 6 | 0 | 5 | 15 | 39 | 4 | 0 | 1
10,504403248980754453,11100000000000000000001010100011111000011010000000000010101,0,7,0,0,21,31,13,0,21,0 | 7 | 0 | 0 | 21 | 31 | 13 | 0 | 21
11,3121570084421660,1011000101110000110100101100000001100000000000011100,0,0,11,23,13,44,6,0,28,0 | 0 | 11 | 23 | 13 | 44 | 6 | 0 | 28
12,2089674664623734817,1110100000000000001000000100100110001000010000000000000100001,0,29,0,4,9,49,8,0,33,0 | 29 | 0 | 4 | 9 | 49 | 8 | 0 | 33
13,2164310604788662280,1111000001001001011010000011100101110000010100000000000001000,0,30,9,45,7,46,10,0,8,0 | 30 | 9 | 45 | 7 | 46 | 10 | 0 | 8
14,2957189333972746242,10100100001010000011000000100000001001000001010000000000000010,0,41,10,12,8,9,5,0,2,0 | 41 | 10 | 12 | 8 | 9 | 5 | 0 | 2
15,55916695366300074015,110000100000000000000000100010110100100010000011000000000000011111,3,8,0,2,45,34,12,0,31,3 | 8 | 0 | 2 | 45 | 34 | 12 | 0 | 31
16,9094103059,1000011110000011010000000000010011,0,0,0,0,2,30,13,0,19,0 | 0 | 0 | 0 | 2 | 30 | 13 | 0 | 19
17,2089674762954997765,1110100000000000001000010000000010110000010000000000000000101,0,29,0,4,32,22,8,0,5,0 | 29 | 0 | 4 | 32 | 22 | 8 | 0 | 5
18,74880122763411466,100001010000001110001001100101110000011010000000000001010,0,1,10,7,19,46,13,0,10,0 | 1 | 10 | 7 | 19 | 46 | 13 | 0 | 10
19,2959759008678608919,10100100010011001011010010001100001101000011010000000000010111,0,41,19,45,35,13,13,0,23,0 | 41 | 19 | 45 | 35 | 13 | 13 | 0 | 23
20,315663503917091,1000111110001100000100011000001010000000000100011,0,0,1,31,24,35,5,0,35,0 | 0 | 1 | 31 | 24 | 35 | 5 | 0 | 35
21,1519127124508934156,1010100010101000001100001001000110001000001000000000000001100,0,21,21,6,18,49,4,0,12,0 | 21 | 21 | 6 | 18 | 49 | 4 | 0 | 12
22,144151528029356066,1000000000001000010000110100001110000001010000000000100010,0,2,0,33,13,14,5,0,34,0 | 2 | 0 | 33 | 13 | 14 | 5 | 0 | 34
23,9925669486599,10010000011100000000000000010000000000000111,0,0,0,9,7,0,1,0,7,0 | 0 | 0 | 9 | 7 | 0 | 1 | 0 | 7
24,2089687824034365460,1110100000000000100000000000100011011000001110000000000010100,0,29,0,16,1,27,7,0,20,0 | 29 | 0 | 16 | 1 | 27 | 7 | 0 | 20
25,5917628506308634,10101000001100000110101000001000010000000000000011010,0,0,21,6,13,65,8,0,26,0 | 0 | 21 | 6 | 13 | 65 | 8 | 0 | 26
26,2164280917286387713,1111000001001000100100000011100000101000000110000000000000001,0,30,9,18,7,5,3,0,1,0 | 30 | 9 | 18 | 7 | 5 | 3 | 0 | 1
27,1162197213184005,100001000010000001100100000000011010000000000000101,0,0,4,33,3,32,13,0,5,0 | 0 | 4 | 33 | 3 | 32 | 13 | 0 | 5
28,3992361667854349,1110001011110000100000100011000001110000000000001101,0,0,14,47,8,35,7,0,13,0 | 0 | 14 | 47 | 8 | 35 | 7 | 0 | 13
29,5119433865691152,10010001100000001100100010101000001000000000000010000,0,0,18,48,25,21,4,0,16,0 | 0 | 18 | 48 | 25 | 21 | 4 | 0 | 16
30,1585298967690805297,1011000000000000111010000001100001000000000010000000000110001,0,22,0,29,3,8,1,0,49,0 | 22 | 0 | 29 | 3 | 8 | 1 | 0 | 49
31,2958067878861013044,10100100001101001010110001000000110101000000010000000000110100,0,41,13,43,16,53,1,0,52,0 | 41 | 13 | 43 | 16 | 53 | 1 | 0 | 52
32,145011316343177223,1000000011001011110000011000011111000011000000000000000111,0,2,3,47,6,31,12,0,7,0 | 2 | 3 | 47 | 6 | 31 | 12 | 0 | 7
33,277213466540044779554,11110000011100011100000100110001010000001010000000010000000000100010,15,7,28,19,20,10,1,0,34,15 | 7 | 28 | 19 | 20 | 10 | 1 | 0 | 34
34,1801439859924074498,1100100000000000000000000001000010111000000010000000000000010,0,25,0,0,2,23,1,0,2,0 | 25 | 0 | 0 | 2 | 23 | 1 | 0 | 2
35,2738195235405824016,10011000000000000001100000111100011100000010000000000000010000,0,38,0,6,15,28,8,0,16,0 | 38 | 0 | 6 | 15 | 28 | 8 | 0 | 16
36,3098526061367066636,10101100000000001011010000100100111111000100110000000000001100,0,43,0,45,9,63,19,0,12,0 | 43 | 0 | 45 | 9 | 63 | 19 | 0 | 12
37,360288095415238659,10100000000000000000001110100101000000001110000000000000011,0,5,0,0,29,40,7,0,3,0 | 5 | 0 | 0 | 29 | 40 | 7 | 0 | 3
38,144132875590369286,1000000000000100000001011000110010000001010000000000000110,0,2,0,16,22,50,5,0,6,0 | 2 | 0 | 16 | 22 | 50 | 5 | 0 | 6
39,1407483281997831,101000000000001100100111101000011010000000000000111,0,0,5,0,25,61,13,0,7,0 | 0 | 5 | 0 | 25 | 61 | 13 | 0 | 7
40,4799395066019857,10001000011010000011000111110000011000000000000010001,0,0,17,13,6,62,12,0,17,0 | 0 | 17 | 13 | 6 | 62 | 12 | 0 | 17
41,2449990118024282115,10001000000000000111010000100000100000000011100000000000000011,0,34,0,29,8,32,14,0,3,0 | 34 | 0 | 29 | 8 | 32 | 14 | 0 | 3
42,7599881346678812,11011000000000000110101000100000000010000000000011100,0,0,27,0,13,68,1,0,28,0 | 0 | 27 | 0 | 13 | 68 | 1 | 0 | 28
43,1297045544627142672,1001000000000000010000000110100000001000000010000000000010000,0,18,0,8,13,1,1,0,16,0 | 18 | 0 | 8 | 13 | 1 | 1 | 0 | 16
44,2449960452668719108,10001000000000000000100000110100011111000100110000000000000100,0,34,0,2,13,31,19,0,4,0 | 34 | 0 | 2 | 13 | 31 | 19 | 0 | 4
45,1970329384452124,111000000000000000100001111000011010000000000011100,0,0,7,0,1,15,13,0,28,0 | 0 | 7 | 0 | 1 | 15 | 13 | 0 | 28
46,14324203323426,11010000011100011101000011010000000000100010,0,0,0,13,7,29,13,0,34,0 | 0 | 0 | 13 | 7 | 29 | 13 | 0 | 34
47,432364351169953817,11000000000000100010001011000101101000001110000000000011001,0,6,0,17,22,45,7,0,25,0 | 6 | 0 | 17 | 22 | 45 | 7 | 0 | 25
48,14320226533377,11010000011000110000000001000000000000000001,0,0,0,13,6,48,4,0,1,0 | 0 | 0 | 13 | 6 | 48 | 4 | 0 | 1
49,1080863966924046385,111100000000000000000000110100011111000001110000000000110001,0,15,0,0,13,31,7,0,49,0 | 15 | 0 | 0 | 13 | 31 | 7 | 0 | 49
50,1585292383892013063,1011000000000000101110000011000011111000001000000000000000111,0,22,0,23,6,31,4,0,7,0 | 22 | 0 | 23 | 6 | 31 | 4 | 0 | 7
51,432373164140593161,11000000000000110010001101000011011000000110000000000001001,0,6,0,25,26,27,3,0,9,0 | 6 | 0 | 25 | 26 | 27 | 3 | 0 | 9
52,166597179513598574643,10010000100000000000000101000001100100010010000001110000000000110011,9,8,0,20,25,18,7,0,51,9 | 8 | 0 | 20 | 25 | 18 | 7 | 0 | 51
53,27630263271430,110010010000100101100000001110000000000000110,0,0,0,25,33,44,7,0,6,0 | 0 | 0 | 25 | 33 | 44 | 7 | 0 | 6
54,2594100959760416771,10010000000000000110010001010000101010000001010000000000000011,0,36,0,25,20,42,5,0,3,0 | 36 | 0 | 25 | 20 | 42 | 5 | 0 | 3
55,5610049830913,1010001101000110001000001110000000000000001,0,0,0,5,26,49,7,0,1,0 | 0 | 0 | 5 | 26 | 49 | 7 | 0 | 1
56,3940714400776195,1110000000000000111100010010000001010000000000000011,0,0,14,0,15,18,5,0,3,0 | 0 | 14 | 0 | 15 | 18 | 5 | 0 | 3
57,2738188608170360836,10011000000000000000000000100000010110000001000000000000000100,0,38,0,0,8,22,4,0,4,0 | 38 | 0 | 0 | 8 | 22 | 4 | 0 | 4
58,77465854267474905101,1000011001100001110000000000000011001001011000001010000100000001101,4,51,14,0,6,75,5,8,13,4 | 51 | 14 | 0 | 6 | 75 | 5 | 8 | 13
59,110896644947561480207,1100000001100000000000001110000011000110010000001010000000000001111,6,3,0,7,6,50,5,0,15,6 | 3 | 0 | 7 | 6 | 50 | 5 | 0 | 15
60,864738463424119304,110000000000001010110000110100001000000000110000001000001000,0,12,0,43,13,8,3,2,8,0 | 12 | 0 | 43 | 13 | 8 | 3 | 2 | 8
61,2666158600338669569,10010100000000000110010001111100000000000010100000000000000001,0,37,0,25,31,0,10,0,1,0 | 37 | 0 | 25 | 31 | 0 | 10 | 0 | 1
62,148632042124148739,1000010000000011000000111000001001000011010000000000000011,0,2,16,12,14,9,13,0,3,0 | 2 | 16 | 12 | 14 | 9 | 13 | 0 | 3
63,1801440010164240387,1100100000000000000000010010100010010000001000000000000000011,0,25,0,0,37,18,4,0,3,0 | 25 | 0 | 0 | 37 | 18 | 4 | 0 | 3
64,4787398920437782,10001000000100001110100101100000011010000000000010110,0,0,17,2,29,44,13,0,22,0 | 0 | 17 | 2 | 29 | 44 | 13 | 0 | 22
65,7634038853271574,11011000111110001111000101110000011010000000000010110,0,0,27,31,30,46,13,0,22,0 | 0 | 27 | 31 | 30 | 46 | 13 | 0 | 22
66,1178711714234392,100001100000000100000110101000001010000000000011000,0,0,4,48,8,53,5,0,24,0 | 0 | 4 | 48 | 8 | 53 | 5 | 0 | 24
67,2522015899322482712,10001100000000000000000001100100100101000000010000000000011000,0,35,0,0,25,37,1,0,24,0 | 35 | 0 | 0 | 25 | 37 | 1 | 0 | 24
68,2341797822474,100010000100111110000001110000000000001010,0,0,0,2,33,62,7,0,10,0 | 0 | 0 | 2 | 33 | 62 | 7 | 0 | 10
69,21112877359595454978,10010010100000000000000100001100100000101000100110000001000000010,1,37,0,2,25,5,19,2,2,1 | 37 | 0 | 2 | 25 | 5 | 19 | 2 | 2
70,3098483192827805706,10101100000000000001100000110000100011000001010000000000001010,0,43,0,6,12,35,5,0,10,0 | 43 | 0 | 6 | 12 | 35 | 5 | 0 | 10
71,1875473324256854022,1101000000111000001010000110100111110000011010000000000000110,0,26,7,5,13,62,13,0,6,0 | 26 | 7 | 5 | 13 | 62 | 13 | 0 | 6
72,504403248610869251,11100000000000000000001010100001001000000010000000000000011,0,7,0,0,21,9,1,0,3,0 | 7 | 0 | 0 | 21 | 9 | 1 | 0 | 3
73,360313324254593041,10100000000000101110000111100110100000010010000000000010001,0,5,0,23,15,52,9,0,17,0 | 5 | 0 | 23 | 15 | 52 | 9 | 0 | 17
74,2385241050840105502,10000100011010000101000001100100100011000000010000001000011110,0,33,26,20,25,35,1,2,30,0 | 33 | 26 | 20 | 25 | 35 | 1 | 2 | 30
75,5350361237880842,10011000000100010000000001101000000010000000000001010,0,0,19,2,32,13,1,0,10,0 | 0 | 19 | 2 | 32 | 13 | 1 | 0 | 10
76,2305895808119472140,10000000000000001100000000010100110100000001100000000000001100,0,32,0,48,5,52,6,0,12,0 | 32 | 0 | 48 | 5 | 52 | 6 | 0 | 12
77,8444353471381507,11110000000000001100001000001000001010000000000000011,0,0,30,0,24,65,5,0,3,0 | 0 | 30 | 0 | 24 | 65 | 5 | 0 | 3
78,2959773182557028371,10100100010011001110100000011100101010000010100000000000010011,0,41,19,58,7,42,10,0,19,0 | 41 | 19 | 58 | 7 | 42 | 10 | 0 | 19
79,579307426680143883,100000001010000111010000100100000111000001000000000000001011,0,8,10,29,9,7,4,0,11,0 | 8 | 10 | 29 | 9 | 7 | 4 | 0 | 11
80,1008808657540546563,111000000000000000100010000100001111000010110000000000000011,0,14,0,2,33,15,11,0,3,0 | 14 | 0 | 2 | 33 | 15 | 11 | 0 | 3
81,1801441027870031879,1100100000000000000010001001000000110000000100000000000000111,0,25,0,1,18,6,2,0,7,0 | 25 | 0 | 1 | 18 | 6 | 2 | 0 | 7
82,2017646795332976918,1110000000000000111110001001000000110000001110000000100010110,0,28,0,31,18,6,7,1,22,0 | 28 | 0 | 31 | 18 | 6 | 7 | 1 | 22
83,4520118558785539,10000000011110000011000011101000010100000000000000011,0,0,16,15,6,29,10,0,3,0 | 0 | 16 | 15 | 6 | 29 | 10 | 0 | 3
84,1981389444808715,111000010100001000000101110000001010000000000001011,0,0,7,10,16,46,5,0,11,0 | 0 | 7 | 10 | 16 | 46 | 5 | 0 | 11
85,110680512838049726466,1100000000000000000001011000000010000000110000001000000000000000010,6,0,0,44,4,6,4,0,2,6 | 0 | 0 | 44 | 4 | 6 | 4 | 0 | 2
86,166023792922540705289,10010000000000001011000000000000100000000011000011010000011000001001,9,0,11,0,8,3,13,6,9,9 | 0 | 11 | 0 | 8 | 3 | 13 | 6 | 9
87,55340242225701783052,110000000000000000000010010001100101011111000001110000011000001100,3,0,0,9,25,95,7,6,12,3 | 0 | 0 | 9 | 25 | 95 | 7 | 6 | 12
88,278790836861473849346,11110001110100000000000001010000011101000010000001110000000000000010,15,29,0,5,7,66,7,0,2,15 | 29 | 0 | 5 | 7 | 66 | 7 | 0 | 2
89,39631684456398520353,100010011000000000000001110000100100010010000000010000000000100001,2,38,0,7,9,18,1,0,33,2 | 38 | 0 | 7 | 9 | 18 | 1 | 0 | 33
90,2302455195303944,1000001011100001001000100000000001110000000000001000,0,0,8,46,18,32,7,0,8,0 | 0 | 8 | 46 | 18 | 32 | 7 | 0 | 8
91,2954413183463129105,10100100000000001011110010001100100000000011010000000000010001,0,41,0,47,35,32,13,0,17,0 | 41 | 0 | 47 | 35 | 32 | 13 | 0 | 17
92,794901969159782919,101100001000000011110010000100011111000001110000001000000111,0,11,8,15,33,31,7,2,7,0 | 11 | 8 | 15 | 33 | 31 | 7 | 2 | 7
93,2383280565790638091,10000100010011000111010000110000100100000010110000000000001011,0,33,19,29,12,36,11,0,11,0 | 33 | 19 | 29 | 12 | 36 | 11 | 0 | 11
94,2161727946732142594,1111000000000000000000001110100111110000000010000000000000010,0,30,0,0,29,62,1,0,2,0 | 30 | 0 | 0 | 29 | 62 | 1 | 0 | 2
95,1590640391102464007,1011000010011000101110000001000010101000011010000000000000111,0,22,19,23,2,21,13,0,7,0 | 22 | 19 | 23 | 2 | 21 | 13 | 0 | 7
96,5925295022473225,10101000011010000011001000001000000010000000000001001,0,0,21,13,6,65,1,0,9,0 | 0 | 21 | 13 | 6 | 65 | 1 | 0 | 9
97,576511347236339738,100000000000001011100000010000001101000000010000000000011010,0,8,0,46,4,13,1,0,26,0 | 8 | 0 | 46 | 4 | 13 | 1 | 0 | 26
98,1008807450654277643,111000000000000000010000100000001111000001000000000000001011,0,14,0,1,8,15,4,0,11,0 | 14 | 0 | 1 | 8 | 15 | 4 | 0 | 11
99,3940727487004690,1110000000000001001000011110000001010000000000010010,0,0,14,0,18,30,5,0,18,0 | 0 | 14 | 0 | 18 | 30 | 5 | 0 | 18
100,4222249976725509,1111000000000001110100101110000001000000000000000101,0,0,15,0,29,46,4,0,5,0 | 0 | 15 | 0 | 29 | 46 | 4 | 0 | 5
101,4796164294377505,10001000010100001011000000101000011010000000000100001,0,0,17,10,22,5,13,0,33,0 | 0 | 17 | 10 | 22 | 5 | 13 | 0 | 33
102,1729382321401954328,1100000000000000000000000111100000100000000010000000000011000,0,24,0,0,15,4,1,0,24,0 | 24 | 0 | 0 | 15 | 4 | 1 | 0 | 24
103,6726674022417,1100001111000101101000001000000000000010001,0,0,0,6,30,45,4,0,17,0 | 0 | 0 | 6 | 30 | 45 | 4 | 0 | 17
104,2954413183530041355,10100100000000001011110010001100100100000010100000000000001011,0,41,0,47,35,36,10,0,11,0 | 41 | 0 | 47 | 35 | 36 | 10 | 0 | 11
105,18455194946085584908,10000000000011110000001100000011000001110000001000000000000001100,1,0,30,6,6,14,4,0,12,1 | 0 | 30 | 6 | 6 | 14 | 4 | 0 | 12
106,2814892089081857,1010000000000010000100100011000011010000000000000001,0,0,10,0,33,35,13,0,1,0 | 0 | 10 | 0 | 33 | 35 | 13 | 0 | 1
107,2384959498370023439,10000100011001000101000000011100011000000010100000000000001111,0,33,25,20,7,24,10,0,15,0 | 33 | 25 | 20 | 7 | 24 | 10 | 0 | 15
108,2954406509083426841,10100100000000001010010001000100100000000001010000000000011001,0,41,0,41,17,32,5,0,25,0 | 41 | 0 | 41 | 17 | 32 | 5 | 0 | 25
109,81806557209,1001100001100000011010000000000011001,0,0,0,0,19,12,13,0,25,0 | 0 | 0 | 0 | 19 | 12 | 13 | 0 | 25
110,1585330918556631043,1011000000000001110100001001000101100000000110000000000000011,0,22,0,58,18,44,3,0,3,0 | 22 | 0 | 58 | 18 | 44 | 3 | 0 | 3
111,1375289039351250946,1001100010110000000100001100000111110000001010000000000000010,0,19,22,2,24,62,5,0,2,0 | 19 | 22 | 2 | 24 | 62 | 5 | 0 | 2
112,3171413872364421147,10110000000011001000000001110100110010000001110000000000011011,0,44,3,32,29,50,7,0,27,0 | 44 | 3 | 32 | 29 | 50 | 7 | 0 | 27
113,1808804406423191565,1100100011010001010100000011000110001000001000000000000001101,0,25,26,42,6,49,4,0,13,0 | 25 | 26 | 42 | 6 | 49 | 4 | 0 | 13
114,583221800197816345,100000011000000001010010001100100010000011100000000000011001,0,8,24,5,35,34,14,0,25,0 | 8 | 24 | 5 | 35 | 34 | 14 | 0 | 25
115,17549164563,10000010110000000110000000000010011,0,0,0,0,4,22,3,0,19,0 | 0 | 0 | 0 | 4 | 22 | 3 | 0 | 19
116,1802002951511539726,1100100000010000000000010001100010001000011010000000000001110,0,25,2,0,35,17,13,0,14,0 | 25 | 2 | 0 | 35 | 17 | 13 | 0 | 14
117,9973133017099,10010001001000001101000011010000000000001011,0,0,0,9,18,13,13,0,11,0 | 0 | 0 | 9 | 18 | 13 | 13 | 0 | 11
118,51690015948808,1011110000001100000101000010100000000000001000,0,0,0,47,3,5,10,0,8,0 | 0 | 0 | 47 | 3 | 5 | 10 | 0 | 8
119,72083025210441748,100000000000101110010000100101000000000010000000000010100,0,1,0,23,33,40,1,0,20,0 | 1 | 0 | 23 | 33 | 40 | 1 | 0 | 20
120,7054574079508502,11001000100000001100100000110000011010000000000010110,0,0,25,16,25,6,13,0,22,0 | 0 | 25 | 16 | 25 | 6 | 13 | 0 | 22
121,864704447920734225,110000000000000011000001110100101110000001000000000000010001,0,12,0,12,29,46,4,0,17,0 | 12 | 0 | 12 | 29 | 46 | 4 | 0 | 17
122,2449990213418811406,10001000000000000111010001111001010110000000110000000000001110,0,34,0,29,30,86,3,0,14,0 | 34 | 0 | 29 | 30 | 86 | 3 | 0 | 14
123,56781384119805542403,110001010000000000000000000000010000101100000001000000000000000011,3,20,0,0,4,44,4,0,3,3 | 20 | 0 | 0 | 4 | 44 | 4 | 0 | 3
124,278646756934693224460,11110001101100000000001001010001100100101011000000010000000000001100,15,27,0,37,25,43,1,0,12,15 | 27 | 0 | 37 | 25 | 43 | 1 | 0 | 12
125,111905482041358549025,1100001000100000000001000110000010000010110000010000000000000100001,6,17,0,35,4,22,8,0,33,6 | 17 | 0 | 35 | 4 | 22 | 8 | 0 | 33
126,2161778437696782367,1111000000000001011100000100100010110000001000000000000011111,0,30,0,46,9,22,4,0,31,0 | 30 | 0 | 46 | 9 | 22 | 4 | 0 | 31
127,295155539119655944203,100000000000000011011000111110000011100111100000000010000000000001011,16,0,27,31,7,60,1,0,11,16 | 0 | 27 | 31 | 7 | 60 | 1 | 0 | 11
128,2017613883686191110,1110000000000000000010010001100101111000000110000000000000110,0,28,0,1,35,47,3,0,6,0 | 28 | 0 | 1 | 35 | 47 | 3 | 0 | 6
129,91050737677,1010100110011000011000000000000001101,0,0,0,0,21,51,12,0,13,0 | 0 | 0 | 0 | 21 | 51 | 12 | 0 | 13
130,439945492181549061,11000011011000000000001100000011110000001000000000000000101,0,6,27,0,24,30,4,0,5,0 | 6 | 27 | 0 | 24 | 30 | 4 | 0 | 5
131,18446744176788832271,10000000000000000000000000001100000000000000000010000000000001111,1,0,0,0,24,0,1,0,15,1 | 0 | 0 | 0 | 24 | 0 | 1 | 0 | 15
132,2383575239185596445,10000100010100001010010000110100100011000100110000000000011101,0,33,20,41,13,35,19,0,29,0 | 33 | 20 | 41 | 13 | 35 | 19 | 0 | 29
133,144127321576701954,1000000000000010110000100100001101000000100000000000000010,0,2,0,11,9,13,2,0,2,0 | 2 | 0 | 11 | 9 | 13 | 2 | 0 | 2
134,1657326892094652444,1011100000000000000100000011100001000000000010000000000011100,0,23,0,2,7,8,1,0,28,0 | 23 | 0 | 2 | 7 | 8 | 1 | 0 | 28
135,2449958236011954186,10001000000000000000000000100100000100000010010000000000001010,0,34,0,0,9,4,9,0,10,0 | 34 | 0 | 0 | 9 | 4 | 9 | 0 | 10
136,144126308283908104,1000000000000010100001110100100000000011010000000000001000,0,2,0,10,29,32,13,0,8,0 | 2 | 0 | 10 | 29 | 32 | 13 | 0 | 8
137,4516871227375637,10000000011000001001000001001000000010000000000010101,0,0,16,12,18,9,1,0,21,0 | 0 | 16 | 12 | 18 | 9 | 1 | 0 | 21
138,38496211370005,1000110000001100011001000000010000000000010101,0,0,0,35,3,25,1,0,21,0 | 0 | 0 | 35 | 3 | 25 | 1 | 0 | 21
139,432347923272171545,11000000000000000100010010101000010000001000000000000011001,0,6,0,2,37,66,4,0,25,0 | 6 | 0 | 2 | 37 | 66 | 4 | 0 | 25
140,25366647603202,101110001001000100010000001010000000000000010,0,0,0,23,18,34,5,0,2,0 | 0 | 0 | 23 | 18 | 34 | 5 | 0 | 2
141,2383825901730201629,10000100010101000011010000011100001111000000010000000000011101,0,33,21,13,7,15,1,0,29,0 | 33 | 21 | 13 | 7 | 15 | 1 | 0 | 29
142,168038361103014821897,10010001110000000000001011110001111000101000000001000000000000001001,9,28,0,47,30,40,4,0,9,9 | 28 | 0 | 47 | 30 | 40 | 4 | 0 | 9
143,20104068895815303188,10001011100000000000000000010010100010011000011010000000000010100,1,23,0,0,37,19,13,0,20,1 | 23 | 0 | 0 | 37 | 19 | 13 | 0 | 20
144,360305592692375563,10100000000000100000000011100001111000001000000000000001011,0,5,0,16,7,15,4,0,11,0 | 5 | 0 | 16 | 7 | 15 | 4 | 0 | 11
145,279295259810562506805,11110010010000000000000101110000011100101011000000110000000000110101,15,36,0,23,7,43,3,0,53,15 | 36 | 0 | 23 | 7 | 43 | 3 | 0 | 53
146,2238570524878372873,1111100010001000000000000100000101100000010010000000000001001,0,31,17,0,8,44,9,0,9,0 | 31 | 17 | 0 | 8 | 44 | 9 | 0 | 9
147,1873551420008169473,1101000000000001100010001011100001010000001000000000000000001,0,26,0,49,23,10,4,0,1,0 | 26 | 0 | 49 | 23 | 10 | 4 | 0 | 1
148,2450009978523222067,10001000000000001011110001100001000010000010100000000000110011,0,34,0,47,24,66,10,0,51,0 | 34 | 0 | 47 | 24 | 66 | 10 | 0 | 51
149,2584999334445067,1001001011110000101100001111000100110000000000001011,0,0,9,47,11,15,19,0,11,0 | 0 | 9 | 47 | 11 | 15 | 19 | 0 | 11
150,6480526047772722,10111000001100000000100001101000010010000000000110010,0,0,23,6,1,13,9,0,50,0 | 0 | 23 | 6 | 1 | 13 | 9 | 0 | 50
151,2092532415233851417,1110100001010001010110010010100011011000000010000000000011001,0,29,10,43,37,27,1,0,25,0 | 29 | 10 | 43 | 37 | 27 | 1 | 0 | 25
152,5913268778500121,10101000000100001011000101101000000010000000000011001,0,0,21,2,22,45,1,0,25,0 | 0 | 21 | 2 | 22 | 45 | 1 | 0 | 25
153,1299912044555862025,1001000001010001101110001111000000111000000010000000000001001,0,18,10,55,30,7,1,0,9,0 | 18 | 10 | 55 | 30 | 7 | 1 | 0 | 9
154,432345724215164953,11000000000000000000010010101000000000000010000000000011001,0,6,0,0,37,64,1,0,25,0 | 6 | 0 | 0 | 37 | 64 | 1 | 0 | 25
155,870099674286064148,110000010011001101110000101100110101000000010000001000010100,0,12,19,55,11,53,1,2,20,0 | 12 | 19 | 55 | 11 | 53 | 1 | 2 | 20
156,148646413755416583,1000010000000110010010000000110001000001110000000000000111,0,2,16,25,32,49,7,0,7,0 | 2 | 16 | 25 | 32 | 49 | 7 | 0 | 7
157,1297073109963309058,1001000000000001000010001111100001111000100110000000000000010,0,18,0,33,31,15,19,0,2,0 | 18 | 0 | 33 | 31 | 15 | 19 | 0 | 2
158,55340232260807622663,110000000000000000000000000000100100111101000011010000000000000111,3,0,0,0,9,61,13,0,7,3 | 0 | 0 | 0 | 9 | 61 | 13 | 0 | 7
159,2449975931746713602,10001000000000000100000010000100100000000001010000000000000010,0,34,0,16,33,32,5,0,2,0 | 34 | 0 | 16 | 33 | 32 | 5 | 0 | 2
160,6628158013458,1100000011100111101000000010000000000010010,0,0,0,6,7,61,1,0,18,0 | 0 | 0 | 6 | 7 | 61 | 1 | 0 | 18
161,864716568418910219,110000000000000101110010001100110100000000010000000000001011,0,12,0,23,35,52,1,0,11,0 | 12 | 0 | 23 | 35 | 52 | 1 | 0 | 11
162,13233046683668,11000000100100001111000011000000000000010100,0,0,0,12,9,15,12,0,20,0 | 0 | 0 | 12 | 9 | 15 | 12 | 0 | 20
163,103851425794,1100000101110000001110000000000000010,0,0,0,0,24,46,7,0,2,0 | 0 | 0 | 0 | 24 | 46 | 7 | 0 | 2
164,3102698699101372934,10101100001111000000000000011100101101000000010000001000000110,0,43,15,0,7,45,1,2,6,0 | 43 | 15 | 0 | 7 | 45 | 1 | 2 | 6
165,360324366581432321,10100000000001000010001101000110010000000010000000000000001,0,5,0,33,26,50,1,0,1,0 | 5 | 0 | 33 | 26 | 50 | 1 | 0 | 1
166,1441172849577492501,1010000000000000100110001001000101111000000010000000000010101,0,20,0,19,18,47,1,0,21,0 | 20 | 0 | 19 | 18 | 47 | 1 | 0 | 21
167,4549792739033091,10000001010100000001100101100000000110000000000000011,0,0,16,42,3,44,3,0,3,0 | 0 | 16 | 42 | 3 | 44 | 3 | 0 | 3
168,2017616052426768412,1110000000000000000110001110000100010000001100000000000011100,0,28,0,3,28,34,6,0,28,0 | 28 | 0 | 3 | 28 | 34 | 6 | 0 | 28
169,130568383611594735625,1110001010000000000000101010001110100100010000010100000000000001001,7,20,0,21,29,34,10,0,9,7 | 20 | 0 | 21 | 29 | 34 | 10 | 0 | 9
170,31989788901394,111010001100000110100000000010000000000010010,0,0,0,29,24,52,1,0,18,0 | 0 | 0 | 29 | 24 | 52 | 1 | 0 | 18
