Croc,DNA,Binary DNA,A1,A2,A3,A4,A5,A6,A7,A8,A9,Attr List
2510,144142835820855305,1000000000000110010010010100111110000001010000000000001001,0,2,0,25,37,62,5,0,9,0 | 2 | 0 | 25 | 37 | 62 | 5 | 0 | 9
2511,6488373489434676,10111000011010010010000101101000000100000000000110100,0,0,23,13,36,45,2,0,52,0 | 0 | 23 | 13 | 36 | 45 | 2 | 0 | 52
2512,576510364510912523,100000000000001011010001111100111110000000010000000000001011,0,8,0,45,31,62,1,0,11,0 | 8 | 0 | 45 | 31 | 62 | 1 | 0 | 11
2513,2089719731715309578,1110100000000001011010000011000110001000001000000000000001010,0,29,0,45,6,49,4,0,10,0 | 29 | 0 | 45 | 6 | 49 | 4 | 0 | 10
2514,368943325839875964935,101000000000000011110000000000001101100011001000000010000000000000111,20,0,30,0,27,25,1,0,7,20 | 0 | 30 | 0 | 27 | 25 | 1 | 0 | 7
2515,145530268298838023,1000000101000001110000001000001010000001010000000000000111,0,2,5,7,2,10,5,0,7,0 | 2 | 5 | 7 | 2 | 10 | 5 | 0 | 7
2516,294985818912391179,10000011000000000000000101000010110000011010000000000001011,0,4,24,0,10,22,13,0,11,0 | 4 | 24 | 0 | 10 | 22 | 13 | 0 | 11
2517,2010010536181761,111001001000001100000001100000000010000000000000001,0,0,7,36,24,12,1,0,1,0 | 0 | 7 | 36 | 24 | 12 | 1 | 0 | 1
2518,1801465243097104391,1100100000000000101110001100000010010000001000000000000000111,0,25,0,23,24,18,4,0,7,0 | 25 | 0 | 23 | 24 | 18 | 4 | 0 | 7
2519,2954388895523340289,10100100000000000110010000110000100110000001110000000000000001,0,41,0,25,12,38,7,0,1,0 | 41 | 0 | 25 | 12 | 38 | 7 | 0 | 1
2520,5068877587873793,10010000000100001111000001000000010010000000000000001,0,0,18,2,30,8,9,0,1,0 | 0 | 18 | 2 | 30 | 8 | 9 | 0 | 1
2521,31976769781781,111010001010100101100000000010000000000010101,0,0,0,29,21,44,1,0,21,0 | 0 | 0 | 29 | 21 | 44 | 1 | 0 | 21
2522,507243236327489554,11100001010000101110000100100110100000001010000000000010010,0,7,10,23,9,52,5,0,18,0 | 7 | 10 | 23 | 9 | 52 | 5 | 0 | 18
2523,293603707730722828,10000010011000101110000010001000000000001110000000000001100,0,4,19,23,4,64,7,0,12,0 | 4 | 19 | 23 | 4 | 64 | 7 | 0 | 12
2524,2745257347017408538,10011000011001000111010000001100011010000000010000000000011010,0,38,25,29,3,26,1,0,26,0 | 38 | 25 | 29 | 3 | 26 | 1 | 0 | 26
2525,1008806419913441292,111000000000000000000001100000010010000100110000000000001100,0,14,0,0,24,18,19,0,12,0 | 14 | 0 | 0 | 24 | 18 | 19 | 0 | 12
2526,6780714750115847,11000000101110000011000101110000000010000000000000111,0,0,24,23,6,46,1,0,7,0 | 0 | 24 | 23 | 6 | 46 | 1 | 0 | 7
2527,144115295736102923,1000000000000000000001100100010001000011010000000000001011,0,2,0,0,25,17,13,0,11,0 | 2 | 0 | 0 | 25 | 17 | 13 | 0 | 11
2528,3103981690224651,1011000001110000111000001110000010010000000000001011,0,0,11,7,14,14,9,0,11,0 | 0 | 11 | 7 | 14 | 14 | 9 | 0 | 11
2529,1744930003681300,110001100110000000100101101000001110000000000010100,0,0,6,51,1,45,7,0,20,0 | 0 | 6 | 51 | 1 | 45 | 7 | 0 | 20
2530,576497156597547020,100000000000001000010001110000001001000001010000000000001100,0,8,0,33,28,9,5,0,12,0 | 8 | 0 | 33 | 28 | 9 | 5 | 0 | 12
2531,294759384460886017,10000010111001100100001100100110101000000010000000000000001,0,4,23,50,25,53,1,0,1,0 | 4 | 23 | 50 | 25 | 53 | 1 | 0 | 1
2532,3096384413040653,1011000000000010010100101101000001110000000000001101,0,0,11,0,37,45,7,0,13,0 | 0 | 11 | 0 | 37 | 45 | 7 | 0 | 13
2533,92305828605652631568,1010000000100000000001011100000111101000010000001000000000000010000,5,1,0,46,15,66,4,0,16,5 | 1 | 0 | 46 | 15 | 66 | 4 | 0 | 16
2534,1082844235532665361,111100000111000010010001100001010110000000010000001000010001,0,15,7,9,24,86,1,2,17,0 | 15 | 7 | 9 | 24 | 86 | 1 | 2 | 17
2535,1156743157777924,100000111000000110101000001000001000000011000000100,0,0,4,28,13,65,4,6,4,0 | 0 | 4 | 28 | 13 | 65 | 4 | 6 | 4
2536,1733891423385944072,1100000010000000001010001000000100010000001000000000000001000,0,24,16,5,16,34,4,0,8,0 | 24 | 16 | 5 | 16 | 34 | 4 | 0 | 8
2537,185404233586082644015,10100000110100000000001010000010001000000000000000010000000000101111,10,13,0,40,34,0,1,0,47,10 | 13 | 0 | 40 | 34 | 0 | 1 | 0 | 47
2538,20968782968169693216,10010001100000000000101010000001100011110000001000000000000100000,1,35,0,21,3,30,4,0,32,1 | 35 | 0 | 21 | 3 | 30 | 4 | 0 | 32
2539,5947366222659592,10101001000010001100100011011000011010000000000001000,0,0,21,33,25,27,13,0,8,0 | 0 | 21 | 33 | 25 | 27 | 13 | 0 | 8
2540,3965942871097367,1110000101110000000100001000000010000000000000010111,0,0,14,23,1,8,8,0,23,0 | 0 | 14 | 23 | 1 | 8 | 8 | 0 | 23
